"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1380","7618","tingle ","characters","yes","unknown","unknown","yes","no","nan","nan","npc","no","race indeterminate","nan","nan","nan"
"1381","7679","toads","characters","unknown","unknown","unknown","no","no","nan","non-binary implicit","npc","no","nan","nan","nan","nan"
"1382","7576","tomoya okazaki","characters","unknown","unknown","unknown","yes","no","bisexual implicit","transgender woman explicit","pc","yes","asian","nan","nan","nan"
"1383","7680","tony","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1384","7681","tornado tonion","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","npc","nan","nan","nan","nan","nan"
"1385","7681","tornado tonion","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1386","7682","ustvestia","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","npc","yes","white","nan","nan","nan"
"1387","7667","vamp","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1388","7667","vamp","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","npc","nan","nan","nan","nan","nan"
"1389","7683","venom","characters","yes","unknown","unknown","no","no","nan","nan","pc","nan","nan","nan","nan","nan"
"1390","7684","vivian","characters","unknown","unknown","unknown","no","no","nan","transgender woman implicit","npc","no","nan","nan","nan","nan"
"1391","7685","voldo","characters","yes","unknown","unknown","no","no","nan","gender non-conforming","pc","yes","white","nan","nan","nan"
"1392","7668","volgin","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","enemies","yes","race indeterminate","nan","nan","nan"
"1393","7668","volgin","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","npc","nan","nan","nan","nan","nan"
"1394","7575","wakka","characters","unknown","unknown","unknown","yes","no","nan","nan","pc","nan","nan","nan","nan","nan"
"1395","7686","yaha","characters","unknown","unknown","unknown","yes","no","asexual implicit","nan","npc","nan","nan","nan","nan","nan"
"1396","7598","yukiko amag","characters","yes","unknown","unknown","no","yes","nan","nan","pc","nan","nan","nan","nan","nan"
"1397","7687","yuri/shoju-ai/girl's love visual novel","relationship/romance/sex","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1398","7688","zangief","characters","yes","unknown","unknown","no","no","nan","nan","pc","yes","white","nan","nan","nan"
"1399","7651","zelos","characters","unknown","unknown","unknown","yes","no","bisexual implicit","transgender woman explicit","npc","yes","white","nan","yes","nan"
"1400","7651","zelos","characters","unknown","unknown","unknown","yes","no","bisexual implicit","nan","npc","nan","nan","nan","nan","nan"
"1401","7651","zelos and lloyd","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1402","7689","zhang he","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","yes","asian","nan","nan","nan"
"1403","7611","zilva","characters","unknown","unknown","unknown","no","yes","lesbian implicit","nan","npc","nan","nan","nan","nan","nan"
"1404","7611","zilva and elena","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1405","7690","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1406","7690","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1407","7691","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1408","7691","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1409","7692","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1410","7652","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1411","7693","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1412","7582","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1413","7694","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1414","7695","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1415","7580","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1416","7646","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1417","7696","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1418","7665","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1419","7592","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1420","7598","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1421","7578","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1422","7697","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1423","7698","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1424","7699","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1425","7700","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1426","7701","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1427","7702","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1428","7703","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1429","7637","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1430","7704","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1431","7705","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1432","7588","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1433","7619","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1434","7654","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1435","7706","crispin jettingham","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
